"GeoName","Territory1","Sovereign1","ISO_Ter1","Area_km2","EconomicVulnerability","DependMarineResource","Education","Tourism","Corruption","ChallengeIndex","OpportunityIndex","CLI","Nospecies","CR","EN","VU","Threatened","rest"
"Papua New Guinean Exclusive Economic Zone","Papua New Guinea","Papua New Guinea","PNG",2399610.72138,31.66812134,1.64844477504861,0.419,1.83727,-29,0.87188,-0.9526,-1.57,101,4,6,30,40,61
"Joint regime area Peru / Ecuador","Peru","Peru","PER",16123.8786382,24.14845085,1.76345701500878,0.672,9.77403,-37,-0.33911,-0.30752,-0.35,67,1,3,12,16,51
"Peruvian Exclusive Economic Zone","Peru","Peru","PER",855322.284264,24.14845085,1.76345701500878,0.672,9.77403,-37,-0.33911,-0.30752,-0.35,81,1,3,15,19,62
"Philippines Exclusive Economic Zone","Philippines","Philippines","PHL",1971039.86154,25.13197327,1.11490288717625,0.637,21.1386,-34,-0.25016,-0.05766,-1.73,167,2,9,40,51,116
"Polish Exclusive Economic Zone","Poland","Poland","POL",29970.7399095,NA,0.0722088979568306,0.852,4.53472,-60,NA,NA,1.95,4,0,0,2,2,2
"Portuguese Exclusive Economic Zone","Portugal","Portugal","PRT",315475.133682,NA,0.147978852455601,0.756,17.3342,-63,NA,NA,2.05,84,3,7,21,31,53
"Puerto Rican Exclusive Economic Zone","Puerto Rico","United States","PRI",154652.244219,NA,0.00407528146481583,NA,NA,NA,NA,NA,NA,48,2,2,10,14,34
"Disputed area: Puerto Rico / Dominican Republic","Puerto Rico","United States","PRI",18298.6504434,NA,0.00407528146481583,NA,NA,NA,NA,NA,NA,27,0,1,9,10,17
"Qatari Exclusive Economic Zone","Qatar","Qatar","QAT",30648.8431247,27.33832741,0.129122875423973,0.698,10.0216,-63,-1.08347,0.35465,2.57,42,1,3,16,20,22
"Mauritian Exclusive Economic Zone","Republic of Mauritius","Republic of Mauritius","MUS",1278112.77102,22.79743576,0.466237451417059,0.725,23.7517,-50,-1.02611,0.45796,1.52,38,1,1,16,18,20
"Congolese Exclusive Economic Zone","Republic of the Congo","Republic of the Congo","COG",33806.6828524,26.18148041,0.1321935092109,0.52,4.00869,-21,0.3916,-1.28302,NA,80,4,7,17,28,52
"Russian Exclusive economic Zone","Russia","Russia","RUS",7734475.08159,NA,0.30748444460511,0.816,4.83815,-29,NA,NA,NA,56,0,0,12,12,44
"Saint Kitts and Nevis Exclusive Economic Zone","Saint Kitts and Nevis","Saint Kitts and Nevis","KNA",9501.83433544,50.78976822,0.816589592811907,0.659,26.8048,NA,NA,NA,0.3,52,3,1,9,13,39
"Saint Lucia Exclusive Economic Zone","Saint Lucia","Saint Lucia","LCA",15412.9352272,42.2713623,0.422760810926233,0.677,41.832,-55,-0.52024,1.72096,0.3,43,3,1,9,13,30
